id,movie_id,viewer_id,watched_at,watch_minutes,completed,revenue
1,1,1,2026-04-01T10:00:00,129,True,6.52
2,1,2,2026-04-01T20:00:00,129,False,5.06
3,1,3,2026-04-01T10:00:00,38,True,6.62
4,1,3,2026-04-01T19:00:00,38,True,11.8
5,1,3,2026-04-01T21:00:00,104,True,8.94
6,1,3,2026-04-01T14:00:00,35,True,5.84
7,1,3,2026-04-01T16:00:00,78,True,6.43
8,1,3,2026-04-01T22:00:00,78,True,8.2
9,1,4,2026-04-01T15:00:00,112,True,4.59
10,1,4,2026-04-01T17:00:00,103,True,14.02
11,1,4,2026-04-01T11:00:00,105,True,10.87
12,1,4,2026-04-01T15:00:00,108,True,4.87
13,1,5,2026-04-01T22:00:00,72,False,13.3
14,1,5,2026-04-01T11:00:00,83,True,10.94
15,1,5,2026-04-01T15:00:00,55,True,6.37
16,1,6,2026-04-01T21:00:00,122,True,10.66
17,1,6,2026-04-01T12:00:00,103,True,5.88
18,1,6,2026-04-01T16:00:00,69,False,10.99
19,1,6,2026-04-01T18:00:00,63,True,13.16
20,2,1,2026-04-01T13:00:00,39,True,6.13
21,2,2,2026-04-01T13:00:00,107,False,5.45
22,2,3,2026-04-01T16:00:00,117,True,5.07
23,2,3,2026-04-01T13:00:00,130,True,5.05
24,2,3,2026-04-01T19:00:00,89,False,6.12
25,2,3,2026-04-01T13:00:00,52,True,3.71
26,2,4,2026-04-01T11:00:00,54,True,9.18
27,2,5,2026-04-01T19:00:00,43,True,7.65
28,2,5,2026-04-01T17:00:00,102,True,7.32
29,2,5,2026-04-01T10:00:00,122,True,8.32
30,2,5,2026-04-01T18:00:00,69,True,5.65
31,2,6,2026-04-01T16:00:00,55,True,10.44
32,2,6,2026-04-01T21:00:00,68,False,8.94
33,2,6,2026-04-01T18:00:00,48,False,5.33
34,3,1,2026-04-01T19:00:00,60,True,7.83
35,3,1,2026-04-01T18:00:00,102,False,6.71
36,3,1,2026-04-01T17:00:00,37,True,5.1
37,3,1,2026-04-01T22:00:00,74,True,4.27
38,3,1,2026-04-01T19:00:00,45,True,5.94
39,3,2,2026-04-01T22:00:00,103,True,3.5
40,3,3,2026-04-01T18:00:00,56,True,8.58
41,3,3,2026-04-01T16:00:00,62,False,7.78
42,3,3,2026-04-01T21:00:00,60,True,5.35
43,3,3,2026-04-01T20:00:00,118,True,8.76
44,3,4,2026-04-01T11:00:00,66,True,4.93
45,3,4,2026-04-01T19:00:00,105,True,4.13
46,3,4,2026-04-01T11:00:00,125,True,4.19
47,3,4,2026-04-01T10:00:00,77,True,4.25
48,3,5,2026-04-01T13:00:00,104,True,9.01
49,3,5,2026-04-01T19:00:00,108,True,7.98
50,3,5,2026-04-01T22:00:00,87,True,3.29
51,3,5,2026-04-01T16:00:00,80,True,5.81
52,3,6,2026-04-01T20:00:00,118,False,3.3
53,4,1,2026-04-01T21:00:00,78,False,1.44
54,4,2,2026-04-01T13:00:00,103,True,2.36
55,4,3,2026-04-01T17:00:00,66,False,1.35
56,4,4,2026-04-01T11:00:00,41,False,2.71
57,4,4,2026-04-01T10:00:00,46,False,3.61
58,4,5,2026-04-01T16:00:00,97,False,3.65
59,4,6,2026-04-01T12:00:00,83,True,2.27
60,5,1,2026-04-01T14:00:00,89,True,4.71
61,5,1,2026-04-01T22:00:00,106,True,3.68
62,5,2,2026-04-01T14:00:00,62,False,4.07
63,5,3,2026-04-01T10:00:00,130,True,1.84
64,5,3,2026-04-01T17:00:00,99,False,3.87
65,5,3,2026-04-01T10:00:00,100,True,2.41
66,5,4,2026-04-01T11:00:00,121,False,3.33
67,5,4,2026-04-01T19:00:00,66,True,1.79
68,5,4,2026-04-01T11:00:00,88,True,4.01
69,5,5,2026-04-01T14:00:00,61,True,2.95
70,5,6,2026-04-01T16:00:00,51,True,2.89
71,6,1,2026-04-01T22:00:00,44,True,5.88
72,6,1,2026-04-01T19:00:00,47,True,3.5
73,6,2,2026-04-01T12:00:00,79,False,7.39
74,6,2,2026-04-01T15:00:00,71,True,7.13
75,6,3,2026-04-01T19:00:00,118,True,6.16
76,6,3,2026-04-01T18:00:00,73,False,2.86
77,6,4,2026-04-01T14:00:00,49,False,6.59
78,6,5,2026-04-01T14:00:00,71,True,6.45
79,6,6,2026-04-01T20:00:00,116,False,5.21
80,1,1,2026-04-02T10:00:00,46,True,13.02
81,1,1,2026-04-02T10:00:00,35,True,5.53
82,1,1,2026-04-02T14:00:00,55,True,10.04
83,1,1,2026-04-02T16:00:00,106,True,4.93
84,1,2,2026-04-02T18:00:00,39,False,10.37
85,1,2,2026-04-02T12:00:00,90,True,7.43
86,1,2,2026-04-02T22:00:00,40,False,6.38
87,1,3,2026-04-02T20:00:00,48,True,10.13
88,1,3,2026-04-02T16:00:00,114,True,14.05
89,1,3,2026-04-02T13:00:00,55,False,12.82
90,1,4,2026-04-02T10:00:00,57,True,7.69
91,1,4,2026-04-02T16:00:00,120,False,12.82
92,1,4,2026-04-02T14:00:00,55,True,5.28
93,1,4,2026-04-02T10:00:00,95,True,12.88
94,1,4,2026-04-02T17:00:00,79,True,12.66
95,1,4,2026-04-02T13:00:00,63,True,6.2
96,1,5,2026-04-02T14:00:00,43,False,7.12
97,1,5,2026-04-02T20:00:00,100,True,14.65
98,1,5,2026-04-02T18:00:00,77,False,5.36
99,1,5,2026-04-02T14:00:00,57,True,14.67
100,1,6,2026-04-02T11:00:00,111,True,11.94
101,2,1,2026-04-02T16:00:00,112,False,3.9
102,2,1,2026-04-02T19:00:00,59,True,8.53
103,2,1,2026-04-02T10:00:00,101,False,7.2
104,2,2,2026-04-02T15:00:00,90,True,8.18
105,2,2,2026-04-02T15:00:00,114,True,9.61
106,2,3,2026-04-02T18:00:00,74,True,5.54
107,2,3,2026-04-02T21:00:00,72,True,4.5
108,2,3,2026-04-02T20:00:00,83,True,10.04
109,2,4,2026-04-02T19:00:00,73,True,9.5
110,2,4,2026-04-02T14:00:00,71,True,9.13
